dataset,structure_id,config_id,n_til,dE_DFT_eV,dE_UMA_eV,ga_faces,h_faces
energy-1st,409217,109027,2,0.178783,0.20509,28;42;56,1;3;5;7;9;11;13;21;35;37;47;49;51;59;61;63;65;69
energy-1st,410001,-1,0,0.272554,0.290473,28;42;56,1;5;9;11;13;15;21;33;35;37;47;49;51;61;63;65;69;71
energy-1st,410009,109028,2,0.041956,0.074929,28;42;56,1;5;7;9;11;13;15;21;35;37;47;49;51;59;61;63;65;69
energy-1st,410010,109048,1,0.079427,0.167007,28;42;56,1;5;7;9;11;13;15;21;35;37;47;49;51;61;63;65;69;71
energy-1st,410013,-1,0,0.085071,0.091716,28;42;56,1;5;7;9;11;13;15;21;33;35;37;47;49;51;61;63;65;69
energy-1st,410071,108181,1,0.283831,0.355875,28;42;56,1;5;7;9;11;13;15;21;35;37;49;51;59;61;63;65;67;71
energy-1st,410318,-1,0,1.593208,1.436275,28;42;56,1;5;7;9;11;13;15;19;21;37;49;51;53;61;63;65;69;71
energy-1st,410844,110245,1,0.445913,0.521025,28;42;56,1;3;7;9;11;13;15;21;35;37;47;49;51;59;61;63;65;71
energy-1st,410979,-1,0,0.391954,0.44372,28;42;56,1;3;5;7;9;11;13;15;21;35;37;47;49;51;59;61;63;65
energy-1st,410996,-1,0,0.428723,0.444985,28;42;56,1;3;5;7;9;11;13;15;21;33;37;47;49;51;61;63;65;69
energy-1st,411730,-1,0,0.50126,0.447549,28;42;56,1;5;7;9;11;13;21;33;35;37;39;49;51;59;61;63;65;69
energy-1st,413372,-1,0,0.985032,0.748706,28;42;56,1;5;7;9;11;13;15;21;33;35;37;39;49;51;53;59;61;63
energy-1st,420031,-1,0,1.084757,0.978923,28;42;56,3;5;9;11;15;21;25;35;37;47;49;53;59;61;63;65;67;71
energy-1st,423647,97005,1,0.508292,0.491107,28;42;56,3;7;9;11;15;21;25;33;35;37;47;49;51;61;63;65;69;71
energy-1st,423680,98806,1,0.371122,0.377856,28;42;56,3;7;9;11;15;21;25;33;35;37;49;51;59;61;63;65;67;71
energy-1st,431652,96609,1,0.684811,0.653693,28;42;56,1;3;7;9;11;15;21;25;33;35;37;47;49;51;59;61;65;71
energy-1st,431995,-1,0,1.099325,1.060399,28;42;56,1;3;5;9;11;15;21;25;37;47;49;51;53;59;61;65;69;71
energy-1st,437844,-1,0,0.778085,0.710911,28;42;56,1;3;5;9;11;19;21;25;35;37;39;47;49;53;61;63;69;71
energy-1st,437919,-1,0,0.488348,0.437491,28;42;56,1;3;5;9;11;19;21;25;35;37;39;49;53;59;61;63;67;69
energy-1st,439262,-1,0,0.952957,0.80642,28;42;56,1;3;7;9;11;15;19;21;25;35;37;39;47;49;61;63;67;71
energy-1st,440820,-1,0,1.338021,1.181038,28;42;56,1;3;5;9;11;21;25;33;35;37;47;49;51;53;59;61;63;71
